Location|Address|City|Hours|Phone Number|Eligibility|Limitations|Link
|446 Fort Tuthill Loop|Flagstaff|10 - 3|928-679-7300|||https://www.fox10phoenix.com/news/list-coronavirus-testing-locations-in-arizona
Banner Health|Tuscon|Tuscon|7 a.m. to 6 p.m.|844-549-1851|||https://www.bannerhealth.com/patients/patient-resources/covid-19#Tested
VA Parking Lot 15|100 Constitution Ave|Los Angeles||211|preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Lincoln Park|3501 Valley Blvd|Los Angeles||211|preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Vista Complete Care|13555 BOWMAN RD SUITE 100|Auburn||(530) 885-3951|||http://www.vistacompletecare.com/
Riverside University Health Center|26520 Cactus Ave|Moreno Valley||(800) 720-9553|call for appt||https://www.desertsun.com/story/news/health/2020/03/18/coronavirus-update-palm-springs-shelter-place-begins-grocery-stores-open-seniors/5075733002/
Northridge Hospital Medical Center|18460 Roscoe Blvd|Northridge||211|preregister here; http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Pomona Fairplex|Gate 17, W. McKinley/Fairplex Drive|Pomona|||high risk||https://www.nbclosangeles.com/news/local/coronavirus-covid-19-test-testing-los-angeles-county/2340127/
Antelope Valley Mall|1233 Rancho Vista Blvd|Palmdale|||high risk||https://www.nbclosangeles.com/news/local/coronavirus-covid-19-test-testing-los-angeles-county/2340127/
||Glendale|||||
South Bay Galleria|1815 Hawthorne Boulevard|Redondo Beach|||symptomatic and high risk - register here https://lacovidprod.service-now.com/rrs||https://www.randomlengthsnews.com/2020/04/06/covid-19-testing-sites-in-south-bay/
Altamed|6336 Passons Blvd|Pico Rivera||211|preregister here; http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Altamed|8627 Atlantic Ave|South Gate||211|preregister here; http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
||San Rafael|||referral||https://abc7news.com/coronavirus-in-california-cases-corona-viruscalifornia/6056897/
|1254 s camden dr|Los Angeles|||||
Long Beach City College|1305 E. Pacific Coast Hwy|Long Beach||211|preregister here; http://coronavirus.lacity.org/testing||
Sonia M Gonzalez||SoCal||3234488054|||
|11100 Warner ave|Fountain Valley|||||
AltaMed|972 Goodrich Blvd|Commerce||211|preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Palos Verdes Medical Group|550 Deep Valley Drive, Suite 319|Rolling Hills Estates|1-5|310-544-6858|appt - call ahead||http://pvmedgroup.com
North East Medical Services|211 Eastmoor Ave|Daly City||650-550-3923|NEMS patients with appts||
North East Medical Services|870 Lundy Ave|San Jose||408-573-9686|NEMS patients with appts||
San Francisco General|23rd Street & Potrero Avenue|San Francisco|M-F, 9 - 6 ||||https://www.sfchronicle.com/bayarea/article/Coronavirus-live-updates-news-bay-area-15169654.php
Academic Family Medicine Center|300 Hillmont Ave, 93003|Ventura|||||
Las Islas Family Medical Group|2400 S C St, 93003|Oxnard|||||https://ktla.com/news/ventura-county-setting-up-more-drive-through-coronavirus-test-sites-as-cases-rise-to-13/
St. Jude Heritage Medical Group|4300 Rose Dr.|Yorba Linda|||||
Hotchkins Memorial Training Center|1700 Stadium Way, 90012|Los Angeles|||pre-screened before arrival with referral||https://www.dailynews.com/2020/03/25/long-lines-big-demand-still-limited-la-area-drive-through-coronavirus-testing-inches-ahead/
Hansen Dam|11798 Foothill Blvd, 91342|Lakeview Terrace|||pre-screened before arrival with referral||https://www.dailynews.com/2020/03/25/long-lines-big-demand-still-limited-la-area-drive-through-coronavirus-testing-inches-ahead/
Crenshaw Christian Center| 1132 W 78th St, 90044|Los Angeles|||pre-screened before arrival with referral||https://www.dailynews.com/2020/03/25/long-lines-big-demand-still-limited-la-area-drive-through-coronavirus-testing-inches-ahead/
West LA Veteranu2019s Administration Lot 15|11301 Wilshire Blvd, 90073|Los Angeles|||pre-screened before arrival with referral||https://www.dailynews.com/2020/03/25/long-lines-big-demand-still-limited-la-area-drive-through-coronavirus-testing-inches-ahead/
SDCCU Stadium|9449 Friars Rd, 92108|San Diego|||referrals only|only testing healthcare workers, first responders, people with underlying conditions, and older people living in group homes,|
Adventist Health satellite location|1233 Plumas Avenue,|Yuba City|9 a.m. u2013 4 p.m. M - Th; 9 a.m. u2013 noon Friday.|530-671-2020|||
Peach Tree Health testing site|724 5th St, Marysville, CA 95901|Yuba City|7a-9p m-f; 7-7 sa; 7-5 su|530-749-3242 |call ahead so they expect you ||https://sacramento.cbslocal.com/2020/03/16/coronavirus-testing-in-yuba-and-sutter-counties/
Ampla Health Test Site|1000 Sutter Street|Yuba City|m-f|530-812-2031|||https://sacramento.cbslocal.com/2020/03/16/coronavirus-testing-in-yuba-and-sutter-counties/
PIH Health|12401 Washington Blvd, 90602|Whittier|||||
Huntington Hospital|100 W California Blvd, 91105|Pasadena|||||
Golden Valley Health Clinic|401 Lesher Dr, 95348|Ceres|m-f, 9-3|866-682-4842|referrals only, call ahead ||https://www.gvhc.org/gvhccovid19/
Golden Valley Health Clinic|1920 Memorial Dr, 95307|Merced|m-f, 9-3|866-682-4842|referrals only, call ahead ||https://www.gvhc.org/gvhccovid19/
Ridgecrest Regional Hospital|1081 N China Lake Blvd,|Ridgecrest||text the word "SCREENING" to 833-RRH-4YOU|Fever of 100.4+ needed + other symptoms||https://www.facebook.com/pg/RidgecrestRegionalHospital/posts/?ref=page_internal; https://www.bakersfield.com/news/breaking/ridgecrest-regional-establishes-drive-thru-testing-for-covid/article_548a7066-6d41-11ea-a5ae-5f84fa4d28ad.html
UCSF Laurel Heights|3333 California St|San Francisco|9-5 m-f||UCSF employees/One Medical patients; appts only after screened by occupational health services||https://www.ucsf.edu/news/2020/03/416976/ucsf-health-sets-drive-through-testing-pre-screened-high-risk-employees
||Riverside|||get screened first on site||https://www.projectbaseline.com/study/covid-19/
||San Joaquin Valley|||get screened first on site||https://www.projectbaseline.com/study/covid-19/
||San Mateo|||must complete online screening prior|appts only|https://www.projectbaseline.com/study/covid-19/
||Sacramento|starts at 12|||appts only|https://www.projectbaseline.com/study/covid-19/
Elevated Health|18800 Delaware Street|Huntington Beach||(714) 916-5210||$200|https://www.facebook.com/pg/ElevatedHealthHB/posts/?ref=page_internal; https://www.latimes.com/california/story/2020-03-20/drive-through-coronavirus-testing-comes-to-orange-county
 Diamond Stadium|500 Diamond Dr,|Lake Elsinore|9:30-3|800-945-6171|residents who live within a 50-mile radius of the City of Riverside|appts only; must be screened as high risk|https://www.projectbaseline.com/study/covid-19/; https://www.pe.com/2020/03/22/coronavirus-drive-through-testing-in-lake-elsinore-will-continue-and-expand/
Kaiser - multiple locations||Southern California||866-454-8855|Kaiser member w PCP referral||https://www.dailynews.com/2020/03/19/coronavirus-test-sites-grow-in-la-county-but-you-must-be-sick-and-follow-protocol-to-be-tested/
Kaiser - multiple locations||San Francisco Bay Area||866-454-8855|Kaiser member w PCP referral||https://paloaltoonline.com/news/2020/03/15/stanford-kaiser-hold-drive-through-coronavirus-testing-but-you-cant-just-head-over-there
Sutter Health|multiple locations - not public|||(866) 961-2889|Doctor's order; call if you are Sutter patient to get screened||https://www.sutterhealth.org/for-patients/health-alerts/2019-novel-coronavirus
Stanford Medicine - Express Careu2019s Hoover Pavilion|211 Quarry Rd|Palo Alto|9-6; 7 days a week|650-736-5211|Physician referra w/ symptomsl; need appt; cannot use Uber/Lyft/taxi|CA resident; need to present ID when scheduling appt|https://med.stanford.edu/news/all-news/2020/03/stanford-offers-drive-through-coronavirus-test.html
North East Medical Services|211 Eastmoor Ave|Daly City||650-550-3923|NEMS patients with appts||
North East Medical Services|870 Lundy Ave|San Jose||408-573-9686|NEMS patients with appts||
KelvinBio - San Francisco||San Francisco|||order test - bring to location and DIY; high-priority (CDC guidelines) patients|$190|https://kelvinbio.com/
KelvinBio - Oakland||Oakland|||order test - bring to location and DIY; high-priority (CDC guidelines) patients|$190|https://kelvinbio.com/
High Desert Medical Group|43839 15th St. W|Lancaster|||||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Fire station #7 (across the street)|28270 Huntwood|Hayward|9-6|(510) 583-4949||Fever of 100.4+ needed|https://www.hayward-ca.gov/discover/news/mar20/hayward-launch-coronavirus-testing-center
San Joaquin General Hospital|500 W Hospital Rd|French Camp|10-3||||
Sierra Vista Family Medical Clinic|1227 E Los Angeles Ave, 93065|Simi Valley|||||
SF Medical Center|Geary Boulevard|San Francisco|||Kaiser member w PCP referral||
UC San Diego Health||San Diego||800-926-8273|call for screening then receive further direction||
Cogent Family Healthcare|525 South Drive Suite 107|Mountain View|||schedule through website||https://www.simscovid.com/
One Medical|1004 Northgate Drive|San Rafael||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
One Medical|3333 California St.|San Francisco||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
One Medical|1299-A Oakmead Parkway|Sunnyvale||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
One Medical|10250 Santa Monica Blvd|Los Angeles||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
Altamed West Covina Urgent Care|1300 S. Sunset Ave|West Covina||211|preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
East Los Angeles College|1301 Avenida Cesar Chavez|Monterey Park||211|high risk individuals prioritized; visit coronavirus.lacity.org/testing to get screened||https://boyleheightsbeat.com/drive-through-covid-19-testing-site-to-open-at-east-la-college/
Charles R. Drew University|1731 E 120th St|Los Angeles|||preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
Rose Bowl|1001 Rose Bowl Dr|Pasadena|11-3||preregister here: http://coronavirus.lacity.org/testing||https://losangeles.cbslocal.com/2020/04/08/new-coronavirus-testing-sites-open-in-la-county/
|28387 Coral Dune Drive|Menifee|||||
West LA Veteranu2019s Administration Lot|11301 Wilshire Blvd|Los Angeles|||veterans||
||Sherman Oaks|||get screened here - https://www.projectbaseline.com/study/covid-19/||
Aurora Health & Wellness Plaza|10680 Del Mar Parkway|Aurora|9 a.m. to noon and 1 p.m. to 4 p.m.||||https://denver.cbslocal.com/2020/03/31/coronavirus-colorado-drive-thru-covid-19-testing-site-wheat-ridge/
JeffCo Family Health Services Center|7495 West 29th Avenue|Wheat Ridge|9 a.m. to 1 p.m.||||https://denver.cbslocal.com/2020/03/31/coronavirus-colorado-drive-thru-covid-19-testing-site-wheat-ridge/
VA|955 W Fillmore St|Colorado Springs|M-F 8:30-3||veterans||https://www.kktv.com/content/news/Veterans-now-have-their-own-COVID-19-testing-site-in-Colorado-Springs-569322421.html
VA||Aurora|||veterans||https://www.kktv.com/content/news/Veterans-now-have-their-own-COVID-19-testing-site-in-Colorado-Springs-569322421.html
Danbury Hospital|95 Locust Ave.|Danbury|M-Sat 8:30 a.m. to 3:30 p.m||||https://www.westernconnecticuthealthnetwork.org/novel-coronavirus-covid19-update/covid19-collection-site-information#_ga=2.48465382.1541741055.1585055267-1007481626.1585055267
Greenwich Hospital - lower level physician parking lot|5 Perryridge Road|Greenwich|M-F 8-5, S-S 9-3|203-ASK-YNHH|||https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites
Bridgeport Hospital - Ahlbin Center|226 Mill Hill Ave|Bridgeport|M-F 8-5, S-S 9-3|203-ASK-YNHH|||https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites
Lawrence & Memorial Hospital - Parking lot A|365 Montauk Ave|New London|M-F 9-5|203-ASK-YNHH|||https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites
Hartford Hospital - Education and Resource Center|560 Hudson Street|Hartford|Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.||||https://hartfordhealthcare.org/health-wellness/coronavirus/resources
Backus Hospital|326 Washington Street|Norwich|9am-Noon, daily||||https://hartfordhealthcare.org/health-wellness/coronavirus/resources
Charlotte Hungerford Hospital|540 Litchfield Street|Torrington|Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.||||https://hartfordhealthcare.org/health-wellness/coronavirus/resources
MidState Medical Center|435 Lewis Avenue|Meriden|Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.||||https://hartfordhealthcare.org/health-wellness/coronavirus/resources
St. Vincentu2019s Medical Center|2979 Main Street|Bridgeport|Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.||||https://hartfordhealthcare.org/health-wellness/coronavirus/resources
Griffin Hospital|130 Division Street|Derby|M-F 8-5m S-S 8-3| 203-437-6815||appt only|https://www.griffinhealth.org/coronavirus-covid19-information/covid-19-test-collection-site
Johnson Memorial Hospital - Community Medical Education Center|201 Chestnut Hill Road|Stafford Springs|9-onwards, daily||||https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1
Saint Francis Hospital - Gengras Building|1000 Asylum Street|Hartford|9-onwards, daily||||https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1
Saint Mary's Hospital - lower level of the Visitor's Garage|56 Franklin St, Waterbury, CT 06706|Waterbury|9-onwards, daily||||https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1
Norwalk Hospital |34 Maple St, Norwalk, CT 06850|Norwalk|M-Sat 8:30-3:30||||https://www.westernconnecticuthealthnetwork.org/novel-coronavirus-covid19-update/covid19-collection-site-information#_ga=2.48465382.1541741055.1585055267-1007481626.1585055267
UConn Health|263 Farmington Avenue |Farmington|M-F 10-2|860-679-1869|||https://health.uconn.edu/coronavirus/
Bridgeport Hospital Milford Campus|831 Boston Post Road|Milford||833-ASK-YNHH|||https://www.bridgeporthospital.org/news/bridgeport-hospital-starts-covid19-testing-in-milford.aspx
Bridgeport Hospital|267 Grant St|Bridgeport|M-F 8-5, Sat 9-3||||https://www.thehour.com/news/coronavirus/article/Drive-thru-COVID-19-testing-location-in-15140116.php
Murphy Medical Associates |1000 Main Street|Stratford |10-12 M-Th|(203) 658-6051|||https://coronatestct.com/
Murphy Medical Associates |468 South Avenue|New Canaan|09:30-12 F|(203) 658-6051|||https://coronatestct.com/
Murphy Medical Associates |88 North Avenue|Westport|8:30-12 T|(203) 658-6051|||https://coronatestct.com/
Bristol Hospital|145 Queen St|Bristol|daily 8-4||||https://www.bristolhealth.org/Your-Health/Coronavirus/Coronavrus-Specimen-Collection#CollectionLocation
Waterbury Hospital - Emergency Department |68 Robbins Street|Waterbury|8-4 daily|203-575-5250|||https://www.waterburyhospital.org/coronavirus/#resources
Yale New Haven Hospital|50 Sargent Drive|New Haven|M-F 8-4:30|203-ASK-YNHH|||https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites
Westhill High School|125 Roxbury Rd|Stamford |M-F 7-4|1-883-508-8378|||https://ctmirror.org/2020/03/30/connecticut-cities-gearing-up-for-covid-19-surge-as-state-waits-for-more-medical-supplies/
Murphy Medical Associates |460 Shippan Avenue |Stamford |6-8 M-F|(203) 658-6051|||https://coronatestct.com/
AllCare |1710 Rhode Island Ave NW|DC|M-F 6p-7p; S-Su noon-1||telemedicine visit first||https://allcarefamilymed.com/coronavirus
George Washington University Hospital|900 23rd St NW, Washington, DC 20037|DC|||referral from PCP||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
Washington Redskins stadiumu2019s parking lot|1600 Fedex Way, Landover, MD 20785|DC|||referral from PCP||
Kaiser||DC|9-5, every day||members only||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
United Medical Center|1310 Southern Ave SE, Washington, DC 20032|DC|||||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
Childrenu2019s National Hospital|125 Michigan Ave NE Washington, D.C.|DC|||referral; children only||https://childrensnational.org/Healthcare%20Providers/Refer%20a%20Patient/mobile%20testing
Upper Chesapeake Medical Center - parking lot|500 Upper Chesapeake Dr|DC|11-3 mwf||referral||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
One Medical|1690 36th St NW|DC||1-888-ONEMED1|Appointment only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
||Newark|||||
Chase Center on the Riverfront|815 Justison St|Wilmington|||||
Saint Francis Healthcare|1072 Justison St, Wilmington, DE 19801|Wilmington|||||
Bayhealth|640 S State St, Dover, DE 19901|Dover|||||
Beebe Healthcare|28538 Dupont Blvd, Millsboro, DE 19966|Millsboro|||||
Beebe Healthcare||Frankford|||||
Nancticoke||Seaford|||||
Raymond James Stadium|4201 N. Dale Mabry Highway|Tampa|resumes 4/8/2020; M-F 9-5|(813) 272-5900|symptomatic and pre-registered - call||https://www.hillsboroughcounty.org/en/residents/public-safety/emergency-management/stay-safe/getting-tested
Lee Convenient Care|4771 S Cleveland Avenue|Fort Myers|12-4||referral||https://www.winknews.com/2020/03/16/mobile-testing-centers-in-swfl-open-monday/
Ballpark of the Palm Beaches|5444 Haverhill Road|West Palm Beach||561-642-1000|call first for pre-screen||
Doris Ison Health Center|10300 SW 216th St.|Cutler Bay|9 a.m. to noon|305-252-4820||Appt only|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Larkin Community Hospital Palm Springs Campus|1475 W. 49th St.|Hialeah||305-830-0790|||https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Hard Rock Stadium|347 Don Shula Dr.|Miami Gardens|9 a.m. to 5 p.m.|305-499-8767||Must be symptomatic and >65|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Marlins Park|501 Marlins Way|Miami||305-499-8767||Must be symptomatic and >65|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Charles Hadley Park|1350 NW 50th St.|Miami||305-960-5050|||https://www.local10.com/news/local/2020/03/20/map-shows-drive-through-testing-locations-in-florida/
CHI Marathon Health Center|2805 Overseas Highway|Marathon|11 a.m.-12:30 p.m. on Saturday|305-252-4820|||https://www.local10.com/news/local/2020/03/20/map-shows-drive-through-testing-locations-in-florida/
Krupa Center|3250 Meridian Pkwy.|Weston|8 a.m. to 5 p.m.|954-659-5951||Appt only|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Broward Health|Call for details|||954-320-5730||Appt only|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
C.B. Smith Park|900 N. Flamingo Rd.|Pembroke Pines|9 a.m. to 5 p.m.|||HCPs, recent travel abroad, and >65|https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Festival Flea Market|2900 W. Sample Rd.|Pompano Beach|7 a.m. to 7 p.m.|954-320-5730|||https://www.local10.com/news/local/2020/03/20/map-shows-drive-through-testing-locations-in-florida/
Marathon Community Park|200 City Marina|Key West|10 a.m. to 1 p.m.|305-252-4820|||https://www.miaminewtimes.com/news/miami-drive-thru-coronavirus-testing-where-to-get-tested-for-covid-19-11605465
Convention Center|9400 Universal Blvd.|Orlando|9 a.m. to 5 p.m.||||
Viera Clinic|2555 Judge Fran Jamieson Way|Viera||321-454-7141|call for pre-screen if symptomatic||https://www.floridatoday.com/story/news/2020/04/08/coronavirus-brevard-county-testing-fdoh-expands-drive-thru-test-requirements/2967909001/
Titusville Clinic|611 N. Singleton Ave|Titusville||321-454-7141|call for pre-screen if symptomatic||https://www.floridatoday.com/story/news/2020/04/08/coronavirus-brevard-county-testing-fdoh-expands-drive-thru-test-requirements/2967909001/
Melbourne Clinic|601 E. University Blvd|Melbourne||321-454-7141|call for pre-screen if symptomatic||https://www.floridatoday.com/story/news/2020/04/08/coronavirus-brevard-county-testing-fdoh-expands-drive-thru-test-requirements/2967909001/
OMNI Healthcare|1344 S. Apollo Blvd|Melbourne|8 a.m. to 6 p.m.|321-802-551|First responders, anyone with minimal symptoms of a cough, anyone over age 45 with one chronic illness, anyone over the age of 60|Patients will have to be pre-screened and pre-register|https://www.omnihealthcare.com/
||Homestead|||||
The Villages Polo Club|703 N Buena Vista Blvd|The Villages|||||https://ufhealthcovid.com/
Premiere Medical Associates|1580 Santa Barbara Blvd|The Villages||352-259-2159|||
Cleveland Clinic|10000 SW Innovation Way, Port St.|Lucie|9a and 5p|772-226-4846|||
BayCare Health System|36245 U.S. Highway 27|Haines City|||||https://baycareanywhere.org/landing.htm
BayCare Health System|4821 U.S. Highway 19|New Port Richey|||||https://baycareanywhere.org/landing.htm
BayCare Health System|900 Carillon Parkway|St. Petersburg|||||https://baycareanywhere.org/landing.htm
Cleveland Clinic (South County Civic Center)|16700 Jog Road|Delray Beach||561-804-0250|||
